id_origen,id_destino,titulo_origen,titulo_destino,peso,similitud_porcentaje,direccion
346,4308,Computational Complexity of Multimodal Logics \new,About complexity of complex networks,0.668418,66.8%,346 → 4308
346,6523,Computational Complexity of Multimodal Logics \new,Characterizing time computational complexity class,0.740406,74.0%,346 → 6523
346,3266,Computational Complexity of Multimodal Logics \new,Computational Complexity on the Blackboard,0.751563,75.2%,346 → 3266
346,8744,Computational Complexity of Multimodal Logics \new,On the computational completeness of several descr,0.778171,77.8%,346 → 8744
346,3058,Computational Complexity of Multimodal Logics \new,On the Computational Complexity of Partial Word Au,0.787854,78.8%,346 → 3058
346,614,Computational Complexity of Multimodal Logics \new,Reduced-Complexity Deterministic Annealing for Vec,0.79279,79.3%,346 → 614
347,911,Computational fluid dynamics applied to a cement p,Computational fluid dynamics analysis of a journal,0.821147,82.1%,347 → 911
347,4138,Computational fluid dynamics applied to a cement p,Synergistic integration of computational fluid dyn,0.825789,82.6%,347 → 4138
347,5015,Computational fluid dynamics applied to a cement p,Computational Fluid Dynamics as a Tool to Estimate,0.834917,83.5%,347 → 5015
347,285,Computational fluid dynamics applied to a cement p,Computational fluid dynamics for turbomachinery de,0.840118,84.0%,347 → 285
347,311,Computational fluid dynamics applied to a cement p,Use of computational fluid dynamics in hydrodynami,0.840965,84.1%,347 → 311
347,3458,Computational fluid dynamics applied to a cement p,Reproducible and Replicable Computational Fluid Dy,0.84295,84.3%,347 → 3458
347,79,Computational fluid dynamics applied to a cement p,Comparison of Supercomputers and Mini- Supercomput,0.854756,85.5%,347 → 79
347,8286,Computational fluid dynamics applied to a cement p,Computational fluid dynamics in cardiac surgery an,0.857456,85.7%,347 → 8286
348,5036,Computational fluid dynamics modelling of non-prem,Computational modelling of particle-fluid dynamics,0.603997,60.4%,348 → 5036
348,8286,Computational fluid dynamics modelling of non-prem,Computational fluid dynamics in cardiac surgery an,0.604938,60.5%,348 → 8286
348,476,Computational fluid dynamics modelling of non-prem,On computational fluid dynamics modelling of cross,0.642852,64.3%,348 → 476
348,5351,Computational fluid dynamics modelling of non-prem,Reactive computational fluid dynamics modelling me,0.66374,66.4%,348 → 5351
348,1936,Computational fluid dynamics modelling of non-prem,An analytical formulation of thermodynamic propert,0.686849,68.7%,348 → 1936
348,2557,Computational fluid dynamics modelling of non-prem,Compression moulding of sheet moulding compound: M,0.723923,72.4%,348 → 2557
348,5352,Computational fluid dynamics modelling of non-prem,Reactive computational fluid dynamics modelling of,0.731315,73.1%,348 → 5352
348,2243,Computational fluid dynamics modelling of non-prem,Computational fluid dynamics modelling and optimis,0.767248,76.7%,348 → 2243
349,4941,Computational studies of unsteady flows in a centr,Analysis of flow field and hemolysis index in axia,0.605375,60.5%,349 → 4941
349,184,Computational studies of unsteady flows in a centr,Studies of Blood Flow in Arterial Bifurcations Usi,0.618166,61.8%,349 → 184
349,4284,Computational studies of unsteady flows in a centr,A computational fluid dynamics investigation of th,0.619793,62.0%,349 → 4284
349,1081,Computational studies of unsteady flows in a centr,Example of integrated computational fluid dynamics,0.621297,62.1%,349 → 1081
349,8151,Computational studies of unsteady flows in a centr,Analysis of fluid forces impacting on the impeller,0.62337,62.3%,349 → 8151
351,842,Creative Interlocutor and Multimedia Dialog,News Briefs,0.708832,70.9%,351 → 842
351,3067,Creative Interlocutor and Multimedia Dialog,Pension System Solvency — From Linguistics to Econ,0.708832,70.9%,351 → 3067
351,1089,Creative Interlocutor and Multimedia Dialog,Genomics of microbial pathogens and host–pathogen ,0.708832,70.9%,351 → 1089
351,2855,Creative Interlocutor and Multimedia Dialog,About the Contributors,0.708832,70.9%,351 → 2855
351,1226,Creative Interlocutor and Multimedia Dialog,A half-century makes a difference,0.708832,70.9%,351 → 1226
351,8310,Creative Interlocutor and Multimedia Dialog,Contests,0.708832,70.9%,351 → 8310
351,2221,Creative Interlocutor and Multimedia Dialog,Boris Kaus receives 2012 Paul Niggli Medal,0.708832,70.9%,351 → 2221
351,20,Creative Interlocutor and Multimedia Dialog,"Achievement, Anxiety and Creative Thinking",0.88017,88.0%,351 → 20
352,5312,Designing a model-based interaction planner with d,Pathfinding Model-Based Mission Assurance: S&MA Re,0.630146,63.0%,352 → 5312
352,6137,Designing a model-based interaction planner with d,Residual feedback suppression with extended model-,0.66457,66.5%,352 → 6137
352,76,Designing a model-based interaction planner with d,A quantitative model-based expert system for LAN d,0.701403,70.1%,352 → 76
352,2743,Designing a model-based interaction planner with d,Software reliability growth model based on Bohrbug,0.713876,71.4%,352 → 2743
353,631,Evaluation of a Computational Model of Situational,Testing a Computational Model of the Goal-Level Ef,0.694138,69.4%,353 → 631
353,7661,Evaluation of a Computational Model of Situational,Is GPT a Computational Model of Emotion?,0.730048,73.0%,353 → 7661
353,4221,Evaluation of a Computational Model of Situational,We Ran 9 Billion Regressions: Eliminating False Po,0.737002,73.7%,353 → 4221
353,1295,Evaluation of a Computational Model of Situational,Energetics of Inhibition: Insights with a Computat,0.739868,74.0%,353 → 1295
353,4286,Evaluation of a Computational Model of Situational,A computational model for measuring discourse comp,0.762974,76.3%,353 → 4286
353,1039,Evaluation of a Computational Model of Situational,Assessing the validity of a computational model of,0.768049,76.8%,353 → 1039
353,415,Evaluation of a Computational Model of Situational,A Computational Model for Sound Field Absorption b,0.790929,79.1%,353 → 415
353,2490,Evaluation of a Computational Model of Situational,A computational model of argumentation in agreemen,0.829729,83.0%,353 → 2490
354,284,Experimental and computational aspects of cavitati,Computational aspects of tribology in metal machin,0.619993,62.0%,354 → 284
355,9060,Exploring Gaia Theory: Artificial Life on a Planet,"What Is Artificial Life Today, and Where Should It",0.633645,63.4%,355 → 9060
356,488,Face recognition algorithms as models of human fac,The Indian half of Needham's question: some though,0.600185,60.0%,356 → 488
356,9119,Face recognition algorithms as models of human fac,A comprehensive survey on RGB-D-based human action,0.61357,61.4%,356 → 9119
361,4949,Manned flight [virtual reality simulation],Application and Research of Virtual Reality Techno,0.608732,60.9%,361 → 4949
361,2793,Manned flight [virtual reality simulation],Towards immersive virtual reality (iVR): a route t,0.639591,64.0%,361 → 2793
361,3475,Manned flight [virtual reality simulation],Setting up Virtual Reality and Augmented Reality L,0.646861,64.7%,361 → 3475
361,194,Manned flight [virtual reality simulation],Automating virtual reality,0.647578,64.8%,361 → 194
362,7901,Mathematical Thinking in Second-Grade Children wit,Teaching Multiplicative Thinking With Virtual Repr,0.618566,61.9%,362 → 7901
362,8777,Mathematical Thinking in Second-Grade Children wit,Population Analysis of Children's Clothing/Toys St,0.621538,62.2%,362 → 8777
362,9,Mathematical Thinking in Second-Grade Children wit,Wishful Thinking about Children's Thinking?,0.635053,63.5%,362 → 9
363,8744,Mental Workload Beyond Computational Complexity,On the computational completeness of several descr,0.605703,60.6%,363 → 8744
363,3058,Mental Workload Beyond Computational Complexity,On the Computational Complexity of Partial Word Au,0.613239,61.3%,363 → 3058
368,3614,The Unimolecular Loss of HF by Simple Inorganic Io,A computational simulation study on the dynamic re,0.605103,60.5%,368 → 3614
368,3352,The Unimolecular Loss of HF by Simple Inorganic Io,Extending the functionality of a symbolic computat,0.689294,68.9%,368 → 3352
369,1208,"Tissue Substitutes, Phantoms and Computational Mod",Wake-tracking and turbulence modelling in computat,0.615844,61.6%,369 → 1208
369,2437,"Tissue Substitutes, Phantoms and Computational Mod",The contribution of medical physics to nuclear med,0.638677,63.9%,369 → 2437
369,2947,"Tissue Substitutes, Phantoms and Computational Mod",Effect of heart rate on the hemodynamics of bileaf,0.655155,65.5%,369 → 2947
370,507,Use of computational fluid dynamics to aid studies,Analysis of Thermal Comfort Near Cold Vertical Sur,0.705262,70.5%,370 → 507
370,169,Use of computational fluid dynamics to aid studies,Building fabric thermal storage: Use of computatio,0.712497,71.2%,370 → 169
370,1552,Use of computational fluid dynamics to aid studies,Extending the role of computational fluid dynamics,0.715449,71.5%,370 → 1552
370,8286,Use of computational fluid dynamics to aid studies,Computational fluid dynamics in cardiac surgery an,0.718467,71.8%,370 → 8286
370,391,Use of computational fluid dynamics to aid studies,Estimation of wall shear stress in bypass grafts w,0.720229,72.0%,370 → 391
370,79,Use of computational fluid dynamics to aid studies,Comparison of Supercomputers and Mini- Supercomput,0.725687,72.6%,370 → 79
370,311,Use of computational fluid dynamics to aid studies,Use of computational fluid dynamics in hydrodynami,0.731313,73.1%,370 → 311
370,3458,Use of computational fluid dynamics to aid studies,Reproducible and Replicable Computational Fluid Dy,0.734052,73.4%,370 → 3458
371,353,A Computational Model of Learned Avoidance Behavio,Evaluation of a Computational Model of Situational,0.605092,60.5%,371 → 353
371,2490,A Computational Model of Learned Avoidance Behavio,A computational model of argumentation in agreemen,0.614705,61.5%,371 → 2490
371,1011,A Computational Model of Learned Avoidance Behavio,A Computational Model of Social-Learning Mechanism,0.686038,68.6%,371 → 1011
372,798,A computational and experimental study of the scav,Computational modelling of convective heat transfe,0.606224,60.6%,372 → 798
372,639,A computational and experimental study of the scav,Variation in boron doping by planar diffusion – a ,0.663471,66.3%,372 → 639
372,9722,A computational and experimental study of the scav,Significance of thermal radiation and suction/inje,0.667115,66.7%,372 → 9722
372,1970,A computational and experimental study of the scav,Computational Modelling and Similarity Reduction o,0.671216,67.1%,372 → 1970
373,391,A computational fluid dynamics study on the effect,Estimation of wall shear stress in bypass grafts w,0.723635,72.4%,373 → 391
373,4654,A computational fluid dynamics study on the effect,Performance comparison of a structured bed reactor,0.747939,74.8%,373 → 4654
373,79,A computational fluid dynamics study on the effect,Comparison of Supercomputers and Mini- Supercomput,0.749238,74.9%,373 → 79
373,911,A computational fluid dynamics study on the effect,Computational fluid dynamics analysis of a journal,0.755368,75.5%,373 → 911
373,4138,A computational fluid dynamics study on the effect,Synergistic integration of computational fluid dyn,0.768485,76.8%,373 → 4138
373,3748,A computational fluid dynamics study on the effect,Computational fluid dynamics investigations of the,0.76906,76.9%,373 → 3748
373,311,A computational fluid dynamics study on the effect,Use of computational fluid dynamics in hydrodynami,0.769749,77.0%,373 → 311
373,3458,A computational fluid dynamics study on the effect,Reproducible and Replicable Computational Fluid Dy,0.778175,77.8%,373 → 3458
375,6296,A trial for data retrieval using conceptual fuzzy ,Trajectory Tracking of a 2-DOF Helicopter System u,0.603828,60.4%,375 → 6296
378,1342,Analyzing Market-Based Resource Allocation Strateg,Multi-agent framework for performance-based resour,0.60146,60.1%,378 → 1342
378,939,Analyzing Market-Based Resource Allocation Strateg,Load Balancing Oriented Economic Grid Resource Sch,0.624088,62.4%,378 → 939
379,1005,Appendix 1: Role of Computational Methods in the D,Utility of Computational Methods to Identify the A,0.613277,61.3%,379 → 1005
379,310,Appendix 1: Role of Computational Methods in the D,Trends in quantitative methods II: stressing the c,0.705682,70.6%,379 → 310
380,5851,Artificial consciousness: Utopia or real possibili,Emotional thinking as the foundation of consciousn,0.608733,60.9%,380 → 5851
380,2129,Artificial consciousness: Utopia or real possibili,The dilemma of the symbols: analogies between phil,0.621153,62.1%,380 → 2129
380,673,Artificial consciousness: Utopia or real possibili,Defining Artificial Intelligence,0.62207,62.2%,380 → 673
384,2242,Computational Fluid Dynamics and Artificial Organs,Computational fluid dynamics modeling of combustio,0.795601,79.6%,384 → 2242
384,347,Computational Fluid Dynamics and Artificial Organs,Computational fluid dynamics applied to a cement p,0.797542,79.8%,384 → 347
384,3458,Computational Fluid Dynamics and Artificial Organs,Reproducible and Replicable Computational Fluid Dy,0.797846,79.8%,384 → 3458
384,911,Computational Fluid Dynamics and Artificial Organs,Computational fluid dynamics analysis of a journal,0.799196,79.9%,384 → 911
384,4138,Computational Fluid Dynamics and Artificial Organs,Synergistic integration of computational fluid dyn,0.805529,80.6%,384 → 4138
384,79,Computational Fluid Dynamics and Artificial Organs,Comparison of Supercomputers and Mini- Supercomput,0.823738,82.4%,384 → 79
384,285,Computational Fluid Dynamics and Artificial Organs,Computational fluid dynamics for turbomachinery de,0.824101,82.4%,384 → 285
384,8286,Computational Fluid Dynamics and Artificial Organs,Computational fluid dynamics in cardiac surgery an,0.843135,84.3%,384 → 8286
385,2564,Computational Issues in Increasing Spatial Precisi,Computational description of morphology of dispers,0.657967,65.8%,385 → 2564
386,7129,Computational Model of Recognition-Primed Decision,A Computational Model of Coping and Decision Makin,0.606734,60.7%,386 → 7129
387,5739,Computational Versus Associative Models of Simple ,Computational Models for Workload Analysis of Driv,0.602617,60.3%,387 → 5739
387,455,Computational Versus Associative Models of Simple ,Computational Models of Oral and Craniofacial Deve,0.613803,61.4%,387 → 455
387,325,Computational Versus Associative Models of Simple ,Fat tails and non-linearity in volatility models: ,0.620507,62.1%,387 → 325
387,6744,Computational Versus Associative Models of Simple ,Increasing returns and business cycles in a family,0.644244,64.4%,387 → 6744
387,4518,Computational Versus Associative Models of Simple ,From Attacker Models to Reliable Security,0.662091,66.2%,387 → 4518
387,1746,Computational Versus Associative Models of Simple ,Computational models and organizational psychology,0.667547,66.8%,387 → 1746
387,907,Computational Versus Associative Models of Simple ,Computational Models of Facial Attractiveness Judg,0.714922,71.5%,387 → 907
387,1205,Computational Versus Associative Models of Simple ,Validation of computational models in biomechanics,0.731087,73.1%,387 → 1205
388,284,Computational aspects of statistical confidentiali,Computational aspects of tribology in metal machin,0.758525,75.9%,388 → 284
389,2679,Creativity in information systems introduction,Modeling information systems from the viewpoint of,0.731076,73.1%,389 → 2679
389,4309,Creativity in information systems introduction,Accounting Information Systems and System of Syste,0.79558,79.6%,389 → 4309
389,6765,Creativity in information systems introduction,Investigating Information Security in Systems-of-S,0.796905,79.7%,389 → 6765
391,845,Estimation of wall shear stress in bypass grafts w,Pseudo-transient computational fluid dynamics anal,0.842994,84.3%,391 → 845
391,285,Estimation of wall shear stress in bypass grafts w,Computational fluid dynamics for turbomachinery de,0.844306,84.4%,391 → 285
391,5211,Estimation of wall shear stress in bypass grafts w,Improving computational fluid dynamics modeling of,0.845862,84.6%,391 → 5211
391,507,Estimation of wall shear stress in bypass grafts w,Analysis of Thermal Comfort Near Cold Vertical Sur,0.853709,85.4%,391 → 507
391,5030,Estimation of wall shear stress in bypass grafts w,Computational fluid dynamics: a primer for congeni,0.859156,85.9%,391 → 5030
391,311,Estimation of wall shear stress in bypass grafts w,Use of computational fluid dynamics in hydrodynami,0.87907,87.9%,391 → 311
391,79,Estimation of wall shear stress in bypass grafts w,Comparison of Supercomputers and Mini- Supercomput,0.884367,88.4%,391 → 79
391,3458,Estimation of wall shear stress in bypass grafts w,Reproducible and Replicable Computational Fluid Dy,0.889171,88.9%,391 → 3458
392,27,Evolutionary Psychology as Computational Theory in,Relationship Between and Among Cognitive Variables,0.660697,66.1%,392 → 27
392,3552,Evolutionary Psychology as Computational Theory in,When the affordances disappear: Dynamical and comp,0.671096,67.1%,392 → 3552
393,8383,Foundations of Classical Artificial Intelligence a,Development of Artificial Intelligence,0.615017,61.5%,393 → 8383
393,2687,Foundations of Classical Artificial Intelligence a,Neuromodulating Cognitive Architecture: Towards Bi,0.653536,65.4%,393 → 2687
393,5819,Foundations of Classical Artificial Intelligence a,Discursive framing and organizational venues: mech,0.660871,66.1%,393 → 5819
393,3245,Foundations of Classical Artificial Intelligence a,Brain inspired cognitive artificial intelligence f,0.835741,83.6%,393 → 3245
396,1239,Human based genetic algorithm,An improved niche-based adaptive genetic algorithm,0.616493,61.6%,396 → 1239
396,7373,Human based genetic algorithm,Creating personality model using genetic algorithm,0.633352,63.3%,396 → 7373
396,1441,Human based genetic algorithm,A Near-Optimum Multiuser Receiver for STBC MC-CDMA,0.666022,66.6%,396 → 1441
396,6799,Human based genetic algorithm,Mendel paved the path toward understanding genetic,0.690779,69.1%,396 → 6799
396,5582,Human based genetic algorithm,A genetic-based pairwise trip planner recommender ,0.691828,69.2%,396 → 5582
396,7247,Human based genetic algorithm,Analysis of genetic variants in the exon 2 and 3 o,0.706575,70.7%,396 → 7247
396,958,Human based genetic algorithm,Quantum Model of Genetic Algorithm,0.716732,71.7%,396 → 958
396,743,Human based genetic algorithm,The Isomorphism Theorem of Partheno-genetic Algori,0.724394,72.4%,396 → 743
397,7205,Industrial applications of soft computing: a revie,Advances in Soft Computing Applications,0.603283,60.3%,397 → 7205
398,5181,"Interval-valued statistics, fuzzy logic, and their",Fuzzy Type-1 Triangular Membership Function Approx,0.6738,67.4%,398 → 5181
398,6296,"Interval-valued statistics, fuzzy logic, and their",Trajectory Tracking of a 2-DOF Helicopter System u,0.674033,67.4%,398 → 6296
398,1884,"Interval-valued statistics, fuzzy logic, and their",A Logic-based Computational Method for the Automat,0.7069,70.7%,398 → 1884
398,168,"Interval-valued statistics, fuzzy logic, and their",Book Reviews : Fuzzy Thinking: The New Science of ,0.712418,71.2%,398 → 168
398,4807,"Interval-valued statistics, fuzzy logic, and their",Two computational formulae for similarity measures,0.715485,71.5%,398 → 4807
398,3400,"Interval-valued statistics, fuzzy logic, and their",Keynote speakers: From fuzzy logic to neutrosophic,0.729374,72.9%,398 → 3400
398,3039,"Interval-valued statistics, fuzzy logic, and their",Model of a fuzzy autonomation system for a steel w,0.743665,74.4%,398 → 3039
398,1148,"Interval-valued statistics, fuzzy logic, and their",Qualification and quantification of fuzzy linguist,0.75974,76.0%,398 → 1148
401,8517,"Murder, mystery, game: a novel approach to science",FemQuest - An Interactive Multiplayer Game to Enga,0.60395,60.4%,401 → 8517
402,8286,"Navier-stokes, fluid dynamics, and image and video",Computational fluid dynamics in cardiac surgery an,0.608247,60.8%,402 → 8286
405,7108,Problem and design spaces during object-oriented d,“Legibility” a product of obligatory processes in ,0.601689,60.2%,405 → 7108
405,103,Problem and design spaces during object-oriented d,Case studies of design methodologies: a survey,0.601761,60.2%,405 → 103
405,2116,Problem and design spaces during object-oriented d,Sustainable and green manufacturing and materials ,0.620112,62.0%,405 → 2116
405,961,Problem and design spaces during object-oriented d,Representing Design Intent for Computer-supported ,0.638185,63.8%,405 → 961
405,873,Problem and design spaces during object-oriented d,A Design Thinking Process Model for Capturing and ,0.652747,65.3%,405 → 873
406,430,Soft computing in industrial innovation: case stud,Fusion of soft computing and hard computing in ind,0.669648,67.0%,406 → 430
407,3363,The Use of Ubiquitous Computing/Computational Neur,Framework of cloud well-being tactics intended for,0.600543,60.1%,407 → 3363
407,1476,The Use of Ubiquitous Computing/Computational Neur,Another look at the middleware for dependable dist,0.736023,73.6%,407 → 1476
408,2332,The flow through a plenum-runner system—a comparis,Linear stability of plane Poiseuille flow in an in,0.602427,60.2%,408 → 2332
408,514,The flow through a plenum-runner system—a comparis,Computational modelling of the unsaturated flow of,0.604776,60.5%,408 → 514
408,5039,The flow through a plenum-runner system—a comparis,Computational study on drilling mud flow through w,0.612698,61.3%,408 → 5039
408,639,The flow through a plenum-runner system—a comparis,Variation in boron doping by planar diffusion – a ,0.61458,61.5%,408 → 639
408,1394,The flow through a plenum-runner system—a comparis,Taylor Flow in Microchannels: A Review of Experime,0.638841,63.9%,408 → 1394
408,668,The flow through a plenum-runner system—a comparis,Computational Study of Aero- and Acoustic Performa,0.65297,65.3%,408 → 668
408,3386,The flow through a plenum-runner system—a comparis,In-cylinder flow control in a four-valve spark ign,0.654483,65.4%,408 → 3386
408,252,The flow through a plenum-runner system—a comparis,Modelling of spanwise mixing in compressor through,0.657961,65.8%,408 → 252
409,6817,Thinking nonlinearly about brain dynamics: a neuro,Multi-Functional Brain Computer Interface Using Co,0.602129,60.2%,409 → 6817
409,6934,Thinking nonlinearly about brain dynamics: a neuro,Rethinking the MS brain: Synaptic loss and computa,0.603862,60.4%,409 → 6934
409,4776,Thinking nonlinearly about brain dynamics: a neuro,The Future of the Brain and Beyond,0.604936,60.5%,409 → 4776
409,3980,Thinking nonlinearly about brain dynamics: a neuro,Pavlov principle and brain reverse engineering,0.627426,62.7%,409 → 3980
409,2538,Thinking nonlinearly about brain dynamics: a neuro,Blue Brain - The Magic of Man,0.655365,65.5%,409 → 2538
409,6107,Thinking nonlinearly about brain dynamics: a neuro,Recurrence eigenvalues of movements from brain sig,0.671923,67.2%,409 → 6107
409,6905,Thinking nonlinearly about brain dynamics: a neuro,Ranking of communities in multiplex spatiotemporal,0.687005,68.7%,409 → 6905
410,5055,Toward a computational model of expression in musi,Creativity performance following exposure to music,0.64517,64.5%,410 → 5055
411,4382,Toward machine emotional intelligence: analysis of,Combination of Human and Machine Intelligence to O,0.616945,61.7%,411 → 4382
411,4244,Toward machine emotional intelligence: analysis of,8 Blaise Agüera y Arcas Brings Together Artists an,0.66579,66.6%,411 → 4244
411,4603,Toward machine emotional intelligence: analysis of,Make Machine Humanlike Intelligence,0.734654,73.5%,411 → 4603
411,788,Toward machine emotional intelligence: analysis of,Cognitive Informatics Foundations of Nature and Ma,0.761047,76.1%,411 → 788
412,2434,VizCraft: a problem-solving environment for aircra,The acquisition of problem solving competence: evi,0.600298,60.0%,412 → 2434
412,5415,VizCraft: a problem-solving environment for aircra,Students’ problem-solving strategies in qualitativ,0.620623,62.1%,412 → 5415
412,538,VizCraft: a problem-solving environment for aircra,Problem solving based technical drawing education,0.625596,62.6%,412 → 538
412,2613,VizCraft: a problem-solving environment for aircra,Environment for problem solving in engineering hig,0.643047,64.3%,412 → 2613
415,4294,A Computational Model for Sound Field Absorption b,A mixed-fidelity computational model of aero engin,0.63405,63.4%,415 → 4294
415,7661,A Computational Model for Sound Field Absorption b,Is GPT a Computational Model of Emotion?,0.638931,63.9%,415 → 7661
415,631,A Computational Model for Sound Field Absorption b,Testing a Computational Model of the Goal-Level Ef,0.642256,64.2%,415 → 631
415,1295,A Computational Model for Sound Field Absorption b,Energetics of Inhibition: Insights with a Computat,0.665904,66.6%,415 → 1295
415,4286,A Computational Model for Sound Field Absorption b,A computational model for measuring discourse comp,0.686701,68.7%,415 → 4286
415,1039,A Computational Model for Sound Field Absorption b,Assessing the validity of a computational model of,0.700462,70.0%,415 → 1039
415,2490,A Computational Model for Sound Field Absorption b,A computational model of argumentation in agreemen,0.756714,75.7%,415 → 2490
415,353,A Computational Model for Sound Field Absorption b,Evaluation of a Computational Model of Situational,0.790929,79.1%,415 → 353
416,4286,A Computational Model of Attention/Situation Aware,A computational model for measuring discourse comp,0.608003,60.8%,416 → 4286
416,1039,A Computational Model of Attention/Situation Aware,Assessing the validity of a computational model of,0.612047,61.2%,416 → 1039
416,631,A Computational Model of Attention/Situation Aware,Testing a Computational Model of the Goal-Level Ef,0.617334,61.7%,416 → 631
416,353,A Computational Model of Attention/Situation Aware,Evaluation of a Computational Model of Situational,0.650859,65.1%,416 → 353
416,2490,A Computational Model of Attention/Situation Aware,A computational model of argumentation in agreemen,0.661199,66.1%,416 → 2490
416,5537,A Computational Model of Attention/Situation Aware,A Computational Model of Focused Attention Meditat,0.792654,79.3%,416 → 5537
417,3386,A combined experimental and computational approach,In-cylinder flow control in a four-valve spark ign,0.620414,62.0%,417 → 3386
417,1394,A combined experimental and computational approach,Taylor Flow in Microchannels: A Review of Experime,0.632423,63.2%,417 → 1394
417,639,A combined experimental and computational approach,Variation in boron doping by planar diffusion – a ,0.655197,65.5%,417 → 639
419,353,A simple computational model of the right coronary,Evaluation of a Computational Model of Situational,0.611722,61.2%,419 → 353
419,2490,A simple computational model of the right coronary,A computational model of argumentation in agreemen,0.62144,62.1%,419 → 2490
419,1039,A simple computational model of the right coronary,Assessing the validity of a computational model of,0.657613,65.8%,419 → 1039
422,5969,Chemical Reaction Dynamics at Liquid Interfaces: A,"Investigating the binding affinity, molecular dyna",0.6001,60.0%,422 → 5969
426,311,Discussion on Two Plume Formulae with Computationa,Use of computational fluid dynamics in hydrodynami,0.729165,72.9%,426 → 311
426,2165,Discussion on Two Plume Formulae with Computationa,A computational fluid dynamics model to evaluate t,0.736522,73.7%,426 → 2165
426,4290,Discussion on Two Plume Formulae with Computationa,A contemporary course on the introduction to compu,0.736736,73.7%,426 → 4290
426,3458,Discussion on Two Plume Formulae with Computationa,Reproducible and Replicable Computational Fluid Dy,0.737543,73.8%,426 → 3458
426,954,Discussion on Two Plume Formulae with Computationa,Performance analysis of reciprocating compressors ,0.739109,73.9%,426 → 954
426,207,Discussion on Two Plume Formulae with Computationa,Uncertainty in Computational Fluid Dynamics,0.768255,76.8%,426 → 207
426,507,Discussion on Two Plume Formulae with Computationa,Analysis of Thermal Comfort Near Cold Vertical Sur,0.818188,81.8%,426 → 507
426,289,Discussion on Two Plume Formulae with Computationa,Equations for a Ventilation Design Derived from Co,0.818499,81.8%,426 → 289
428,5440,Far-field electrophysiology reflects top-down cont,The CHAOS-7 geomagnetic field model and observed c,0.603632,60.4%,428 → 5440
428,3401,Far-field electrophysiology reflects top-down cont,Light-field optics as optical encoding and decodin,0.603836,60.4%,428 → 3401
428,1561,Far-field electrophysiology reflects top-down cont,Hopeless Anarchy or Saving Pluralism? Reflections ,0.614203,61.4%,428 → 1561
430,843,Fusion of soft computing and hard computing in ind,Perspectives of Granular Computing in Software Eng,0.628838,62.9%,430 → 843
430,3365,Fusion of soft computing and hard computing in ind,From computing with numbers to computing with nume,0.663039,66.3%,430 → 3365
430,2825,Fusion of soft computing and hard computing in ind,A Summer Computing Camp Using ChainReaction and jA,0.667467,66.7%,430 → 2825
430,406,Fusion of soft computing and hard computing in ind,Soft computing in industrial innovation: case stud,0.669648,67.0%,430 → 406
430,1556,Fusion of soft computing and hard computing in ind,Geometric computing for freeform architecture,0.705573,70.6%,430 → 1556
430,7205,Fusion of soft computing and hard computing in ind,Advances in Soft Computing Applications,0.709124,70.9%,430 → 7205
430,931,Fusion of soft computing and hard computing in ind,"Granular computing: Past, present and future",0.711607,71.2%,430 → 931
430,4236,Fusion of soft computing and hard computing in ind,3 COMPUTING MACHINES,0.71853,71.9%,430 → 4236
437,1551,On the sure criticality of tasks in activity netwo,Exploiting periodicity to extract the atrial activ,0.638027,63.8%,437 → 1551
438,5228,"Preservice teachers' thinking styles, dispositions",Interruptions: Thinking-in-Action in Teacher Educa,0.617118,61.7%,438 → 5228
438,4021,"Preservice teachers' thinking styles, dispositions",Research That Illuminates Enduring Dilemmas in Tea,0.618109,61.8%,438 → 4021
439,8243,Raytracing as a tool for learning computer graphic,Codify: A Programming Learning Tool Prototyping Us,0.644117,64.4%,439 → 8243
440,2219,Research about holographic relation and topologica,Blue Brain Technology: A Subway to Artificial Inte,0.603048,60.3%,440 → 2219
440,3261,Research about holographic relation and topologica,Cognitive artificial intelligence: Brain-inspired ,0.631495,63.1%,440 → 3261
441,1213,"Reviews: Color Perception: Philosophical, Psycholo",“Vague-to-Crisp” Neural Mechanism of Perception,0.616297,61.6%,441 → 1213
441,4827,"Reviews: Color Perception: Philosophical, Psycholo",Visual Perception for Autonomous Driving inspired ,0.77401,77.4%,441 → 4827
441,1582,"Reviews: Color Perception: Philosophical, Psycholo",Machine Perception in Automation:A Call to Arms,0.792292,79.2%,441 → 1582
441,8158,"Reviews: Color Perception: Philosophical, Psycholo",Analyzing the worldwide perception of the Russia-U,0.821746,82.2%,441 → 8158
446,566,Uncertainty estimation of measurement using a vect,Adaptive Peak Frequency Estimation Using a Databas,0.639036,63.9%,446 → 566
446,7488,Uncertainty estimation of measurement using a vect,Estimation of phase velocity using array observati,0.694266,69.4%,446 → 7488
450,1640,An EEG feature detection system using the neural n,Statistics of spike trains in conductance-based ne,0.602023,60.2%,450 → 1640
450,2407,An EEG feature detection system using the neural n,Single-channel dereverberation by feature mapping ,0.653035,65.3%,450 → 2407
453,166,Book Review: Adaptive Thinking: Rationality in the,Book Review: Learning and Computational Neuroscien,0.68474,68.5%,453 → 166
455,387,Computational Models of Oral and Craniofacial Deve,Computational Versus Associative Models of Simple ,0.613803,61.4%,455 → 387
457,1118,Computational studies of air-assisted spray imping,Negative Ion Electrospray Ionization Mass Spectrom,0.637377,63.7%,457 → 1118
458,9236,Computers and urban security,Big data and urban form: a systematic review,0.690509,69.1%,458 → 9236
